date,weight_market,weight_sector_Unknown,weight_sector_Healthcare,weight_sector_Financial Services,weight_sector_Technology,weight_sector_Consumer Cyclical,weight_sector_Industrials,weight_sector_Communication Services,weight_sector_Real Estate,weight_sector_Consumer Defensive,weight_sector_Energy,weight_sector_Basic Materials
2022-08-30,0.61950743,0.027585214,0.016045874,0.0033274451,0.004104098,0.09765161,0.06527168,0.03979159,0.009379437,0.044133354,0.0021644172,0.07103784
2022-08-31,0.61950016,0.02758147,0.016042596,0.0033271872,0.004104138,0.09765373,0.06526727,0.03979347,0.009379927,0.044130437,0.0021638942,0.071055785
2022-09-01,0.61951685,0.027581893,0.01604411,0.0033269979,0.0041037747,0.09765233,0.06526839,0.039788887,0.009378847,0.04412942,0.0021639485,0.07104459
2022-09-02,0.61953384,0.02757871,0.016045632,0.0033267636,0.004103179,0.097653665,0.065267056,0.03978695,0.009377185,0.04412869,0.0021637573,0.07103464
2022-09-06,0.6195633,0.027581489,0.01604137,0.0033258987,0.00410241,0.09764354,0.06526239,0.039784163,0.00937667,0.04412692,0.0021633534,0.07102854
2022-09-07,0.6196323,0.027571784,0.016034277,0.003323829,0.004099927,0.09763526,0.06524712,0.039778516,0.009372717,0.04411804,0.0021616044,0.07102469
2022-09-08,0.6196155,0.027572114,0.016036347,0.0033243033,0.004100477,0.09763936,0.065250635,0.03977936,0.009373303,0.044119123,0.002161926,0.07102755
2022-09-09,0.6194898,0.02758477,0.016052386,0.003328274,0.0041046054,0.0976595,0.06527975,0.039790846,0.009379367,0.044134326,0.0021651525,0.07103126
2022-09-12,0.61958754,0.027574314,0.016040964,0.0033252963,0.004101389,0.09764538,0.06525841,0.039779928,0.009374627,0.04412105,0.0021626987,0.07102837
2022-09-13,0.6195219,0.027581627,0.016047413,0.0033271692,0.004103593,0.097654045,0.06527163,0.039786633,0.009378087,0.044129338,0.0021642211,0.07103431
2022-09-14,0.6196073,0.02757398,0.016034013,0.003324269,0.0041008024,0.09763757,0.0652492,0.039779916,0.009374609,0.044118524,0.0021618407,0.071037985
2022-09-15,0.6195356,0.027585097,0.016055051,0.0033279238,0.0041033984,0.097654484,0.065276586,0.039781403,0.009377369,0.044135246,0.0021649161,0.071002945
2022-09-16,0.6195973,0.027575271,0.016035344,0.0033245038,0.0041010566,0.09763876,0.06524986,0.039780468,0.009375401,0.044120755,0.0021619934,0.07103931
2022-09-19,0.61959803,0.027572652,0.016032025,0.0033241448,0.0041009714,0.09763856,0.065246336,0.03978251,0.009375121,0.04411888,0.0021615662,0.07104912
2022-09-20,0.6195986,0.027574342,0.016035317,0.0033245743,0.004101085,0.097639605,0.06525112,0.039781965,0.009374657,0.044120934,0.0021620577,0.071035706
2022-09-21,0.6195415,0.027578974,0.016040714,0.0033262277,0.0041029523,0.09764867,0.06526248,0.03978792,0.009377485,0.04412671,0.002163297,0.0710431
2022-09-22,0.61959934,0.027575899,0.016036434,0.0033247096,0.0041011814,0.097639345,0.065252796,0.039781436,0.009374649,0.044122037,0.0021622644,0.071029946
2022-09-23,0.61959386,0.027574295,0.016034132,0.0033244742,0.004101243,0.09763964,0.06525043,0.03978234,0.009375063,0.044120047,0.00216197,0.07104253
2022-09-26,0.619563,0.027575491,0.016035944,0.0033252311,0.0041021006,0.09764404,0.06525388,0.039787337,0.009376607,0.044123404,0.0021624283,0.07105045
