date,weight_market,weight_bond
2024-08-14,0.61958563,0.38041437
2024-08-15,0.6195862,0.38041374
2024-08-16,0.6195855,0.3804145
2024-08-19,0.6195863,0.3804137
2024-08-20,0.6195864,0.3804136
2024-08-21,0.61958736,0.38041267
2024-08-22,0.61958754,0.38041246
2024-08-23,0.61958885,0.38041115
2024-08-26,0.6195874,0.38041255
2024-08-27,0.6195879,0.38041207
2024-08-28,0.6195881,0.38041186
2024-08-29,0.61958873,0.38041124
2024-08-30,0.61958873,0.38041133
2024-09-03,0.61958754,0.38041246
2024-09-04,0.6195898,0.38041016
2024-09-05,0.6195904,0.38040957
2024-09-06,0.6195898,0.3804102
2024-09-09,0.6195909,0.38040912
2024-09-10,0.61958915,0.38041088
2024-09-11,0.61958826,0.3804117
2024-09-12,0.6195878,0.38041216
2024-09-13,0.6195879,0.3804121
2024-09-16,0.6195883,0.38041168
2024-09-17,0.6195892,0.3804108
2024-09-18,0.61958975,0.38041028
2024-09-19,0.6195903,0.38040972
2024-09-20,0.6195881,0.38041186
2024-09-23,0.6195888,0.38041118
2024-09-24,0.6195894,0.3804107
2024-09-25,0.6195893,0.3804107
2024-09-26,0.61958987,0.38041013
2024-09-27,0.61958945,0.38041058
2024-09-30,0.6195896,0.3804103
2024-10-01,0.61958945,0.38041058
2024-10-02,0.61959034,0.38040966
2024-10-03,0.61959064,0.38040933
2024-10-04,0.61959046,0.3804095
2024-10-07,0.6195894,0.3804107
2024-10-08,0.6195907,0.3804093
2024-10-09,0.6195898,0.3804102
2024-10-10,0.6195892,0.3804108
2024-10-11,0.61959004,0.38040996
2024-10-14,0.6195899,0.38041013
2024-10-15,0.61958927,0.3804107
2024-10-16,0.6195906,0.38040945
2024-10-17,0.6195903,0.3804097
2024-10-18,0.6195903,0.38040975
2024-10-21,0.61959016,0.38040984
2024-10-22,0.61959064,0.38040933
2024-10-23,0.6195907,0.3804093
2024-10-24,0.6195915,0.38040853
2024-10-25,0.61959076,0.3804093
2024-10-28,0.6195904,0.38040957
2024-10-29,0.61959,0.38040996
2024-10-30,0.6195899,0.38041005
2024-10-31,0.61959064,0.38040936
2024-11-01,0.61959213,0.38040787
2024-11-04,0.61959076,0.3804093
2024-11-05,0.6195899,0.38041005
2024-11-06,0.61958855,0.38041145
2024-11-07,0.61958605,0.38041392
2024-11-08,0.61958665,0.3804134
2024-11-11,0.61958814,0.38041186
2024-11-12,0.6195891,0.3804109
2024-11-13,0.6195898,0.38041013
2024-11-14,0.6195897,0.3804103
2024-11-15,0.61959016,0.38040987
2024-11-18,0.61959094,0.38040903
2024-11-19,0.6195896,0.3804104
2024-11-20,0.6195886,0.38041136
2024-11-21,0.6195888,0.3804112
2024-11-22,0.61958855,0.38041148
2024-11-25,0.61958855,0.38041148
2024-11-26,0.61958855,0.38041145
